scenario_id,scenario_name,seed_count,mean_final_price,p05_final_price,p95_final_price,mean_retention,p05_retention,p95_retention,mean_final_solvency,p05_final_solvency,p95_final_solvency,mean_max_drawdown,p95_max_drawdown,prob_price_drop50,prob_retention_below70,prob_solvency_below1,prob_drawdown_above80
baseline,"Baseline",200,0.939886,0.793138,1.110914,1.298375,1.178667,1.418,1.128631,0.895542,1.360245,0.973626,0.977745,0,0,0.21,1
unlock_10pct,"Investor Unlock 10%",200,286.532483,0.896465,3277.342372,0.3431,0.010333,0.505333,0.947766,0.603384,1.17185,0.990354,0.99097,0,1,0.565,1
high_mint_150pct,"High Mint 150%",200,0.896619,0.774763,1.032631,1.210657,1.106,1.312333,1.246088,1.029818,1.478886,0.968637,0.97308,0,0,0.025,1
high_burn_80pct,"High Burn 80%",200,1.314128,1.101464,1.580117,1.283945,1.180333,1.403667,1.164242,0.921969,1.412956,0.975742,0.97928,0,0,0.145,1
vampire_attack,"Vampire Yield Attack",200,0.949624,0.744419,1.212985,0.680093,0.599333,0.769,1.115629,0.942947,1.281679,0.981719,0.985263,0,0.635,0.17,1
bearish_macro,"Bearish Macro",200,0.875109,0.71551,1.053258,1.271032,1.131667,1.405,1.270824,1.005004,1.587318,0.971199,0.976705,0,0,0.045,1
